pair_id,role,entity_id,product_id,path,row,date,cloud_cover
0,target,LC80270382021265LGN00,LC08_L1TP_027038_20210922_20210930_02_T1,27,38,2021-09-22,0.02
0,reference,LC80270382022172LGN00,LC08_L1TP_027038_20220621_20220705_02_T1,27,38,2022-06-21,2.01
1,target,LC80330362021259LGN00,LC08_L1TP_033036_20210916_20210925_02_T1,33,36,2021-09-16,0.82
1,reference,LC80330362021163LGN00,LC08_L1TP_033036_20210612_20210622_02_T1,33,36,2021-06-12,6.79
2,target,LC80420292022181LGN00,LC08_L1TP_042029_20220630_20220707_02_T1,42,29,2022-06-30,4.4
2,reference,LC80420292021258LGN00,LC08_L1TP_042029_20210915_20210925_02_T1,42,29,2021-09-15,7.08
3,target,LC80300352021062LGN00,LC08_L1TP_030035_20210303_20210312_02_T1,30,35,2021-03-03,0.01
3,reference,LC80300352021174LGN00,LC08_L1TP_030035_20210623_20210630_02_T1,30,35,2021-06-23,5.86
4,target,LC80390302021061LGN00,LC08_L1TP_039030_20210302_20210312_02_T1,39,30,2021-03-02,0.85
4,reference,LC80390302021173LGN00,LC08_L1TP_039030_20210622_20210630_02_T1,39,30,2021-06-22,7.04
5,target,LC80350282021161LGN00,LC08_L1TP_035028_20210610_20210621_02_T1,35,28,2021-06-10,0.0
5,reference,LC80350282021273LGN00,LC08_L1TP_035028_20210930_20211013_02_T1,35,28,2021-09-30,4.05
6,target,LC80390292021269LGN00,LC08_L1TP_039029_20210926_20211001_02_T1,39,29,2021-09-26,0.02
6,reference,LC80390292022176LGN00,LC08_L1TP_039029_20220625_20220706_02_T1,39,29,2022-06-25,1.38
7,target,LC80430292021249LGN00,LC08_L1TP_043029_20210906_20210915_02_T1,43,29,2021-09-06,0.03
7,reference,LC80430292021153LGN00,LC08_L1TP_043029_20210602_20210608_02_T1,43,29,2021-06-02,0.6
8,target,LC80110272022060LGN00,LC08_L1TP_011027_20220301_20220309_02_T1,11,27,2022-03-01,7.18
8,reference,LC80110272021169LGN00,LC08_L1TP_011027_20210618_20210628_02_T1,11,27,2021-06-18,7.54
9,target,LC80190342021065LGN00,LC08_L1TP_019034_20210306_20210318_02_T1,19,34,2021-03-06,0.01
9,reference,LC80190342021337LGN00,LC08_L1TP_019034_20211203_20211209_02_T1,19,34,2021-12-03,0.03
10,target,LC80160382021268LGN00,LC08_L1TP_016038_20210925_20211001_02_T1,16,38,2021-09-25,0.02
10,reference,LC80160382022079LGN00,LC08_L1TP_016038_20220320_20220329_02_T1,16,38,2022-03-20,0.07
11,target,LC80390312021157LGN00,LC08_L1TP_039031_20210606_20210615_02_T1,39,31,2021-06-06,0.86
11,reference,LC80390312021061LGN00,LC08_L1TP_039031_20210302_20210312_02_T1,39,31,2021-03-02,6.65
12,target,LC80400332021164LGN00,LC08_L1TP_040033_20210613_20210622_02_T1,40,33,2021-06-13,0.0
12,reference,LC80400332021260LGN00,LC08_L1TP_040033_20210917_20210925_02_T1,40,33,2021-09-17,0.09
13,target,LC80400312021164LGN00,LC08_L1TP_040031_20210613_20210622_02_T1,40,31,2021-06-13,0.02
13,reference,LC80400312021260LGN00,LC08_L1TP_040031_20210917_20210925_02_T1,40,31,2021-09-17,0.38
14,target,LC80150402021357LGN00,LC08_L1TP_015040_20211223_20211230_02_T1,15,40,2021-12-23,0.22
14,reference,LC80150402022088LGN00,LC08_L1TP_015040_20220329_20220406_02_T1,15,40,2022-03-29,0.31
15,target,LC80300392021158LGN00,LC08_L1TP_030039_20210607_20210615_02_T1,30,39,2021-06-07,0.06
15,reference,LC80300392021062LGN00,LC08_L1TP_030039_20210303_20210312_02_T1,30,39,2021-03-03,9.35
16,target,LC80340342021250LGN00,LC08_L1TP_034034_20210907_20210916_02_T1,34,34,2021-09-07,0.0
16,reference,LC80340342021090LGN00,LC08_L1TP_034034_20210331_20210409_02_T1,34,34,2021-03-31,1.47
17,target,LC80240382021244LGN00,LC08_L1TP_024038_20210901_20210909_02_T1,24,38,2021-09-01,2.13
17,reference,LC80240382021068LGN00,LC08_L1TP_024038_20210309_20210317_02_T1,24,38,2021-03-09,6.98
18,target,LC80420282022245LGN00,LC08_L1TP_042028_20220902_20220913_02_T1,42,28,2022-09-02,0.24
18,reference,LC80420282022341LGN00,LC08_L1TP_042028_20221207_20221213_02_T1,42,28,2022-12-07,9.48
19,target,LC80210332021063LGN00,LC08_L1TP_021033_20210304_20210312_02_T1,21,33,2021-03-04,0.03
19,reference,LC80210332021255LGN00,LC08_L1TP_021033_20210912_20210924_02_T1,21,33,2021-09-12,0.52
20,target,LC80350392021161LGN00,LC08_L1TP_035039_20210610_20210621_02_T1,35,39,2021-06-10,0.0
20,reference,LC80350392021065LGN00,LC08_L1TP_035039_20210306_20210317_02_T1,35,39,2021-03-06,0.06
21,target,LC80440312021176LGN00,LC08_L1TP_044031_20210625_20210707_02_T1,44,31,2021-06-25,0.16
21,reference,LC80440312021080LGN00,LC08_L1TP_044031_20210321_20210401_02_T1,44,31,2021-03-21,1.65
22,target,LC80330382021163LGN00,LC08_L1TP_033038_20210612_20210622_02_T1,33,38,2021-06-12,0.0
22,reference,LC80330382021259LGN00,LC08_L1TP_033038_20210916_20210925_02_T1,33,38,2021-09-16,2.25
23,target,LC80450342021263LGN00,LC08_L1TP_045034_20210920_20210925_02_T1,45,34,2021-09-20,0.12
23,reference,LC80450342022170LGN00,LC08_L1TP_045034_20220619_20220630_02_T1,45,34,2022-06-19,0.51
