pair_id,role,entity_id,product_id,path,row,date,cloud_cover
0,target,LC80370362021335LGN00,LC08_L1TP_037036_20211201_20211209_02_T1,37,36,2021-12-01,0.01
0,reference,LC80370362021255LGN00,LC08_L1TP_037036_20210912_20210924_02_T1,37,36,2021-09-12,1.2
1,target,LC80240362021356LGN00,LC08_L1TP_024036_20211222_20211230_02_T1,24,36,2021-12-22,0.03
1,reference,LC80240362022071LGN00,LC08_L1TP_024036_20220312_20220321_02_T1,24,36,2022-03-12,1.43
2,target,LC80230382021253LGN00,LC08_L1TP_023038_20210910_20210916_02_T1,23,38,2021-09-10,0.01
2,reference,LC80230382021269LGN00,LC08_L1TP_023038_20210926_20211001_02_T1,23,38,2021-09-26,0.26
3,target,LC80370382021255LGN00,LC08_L1TP_037038_20210912_20210924_02_T1,37,38,2021-09-12,0.04
3,reference,LC80370382021271LGN00,LC08_L1TP_037038_20210928_20211012_02_T1,37,38,2021-09-28,0.85
4,target,LC80230402022272LGN00,LC08_L1TP_023040_20220929_20221005_02_T1,23,40,2022-09-29,0.0
4,reference,LC80230402022256LGN02,LC08_L1TP_023040_20220913_20231107_02_T1,23,40,2022-09-13,0.2
5,target,LC80420302021178LGN00,LC08_L1TP_042030_20210627_20210707_02_T1,42,30,2021-06-27,0.0
5,reference,LC80420302021258LGN00,LC08_L1TP_042030_20210915_20210925_02_T1,42,30,2021-09-15,0.03
6,target,LC80350332021353LGN00,LC08_L1TP_035033_20211219_20211223_02_T1,35,33,2021-12-19,0.56
6,reference,LC80350332021337LGN00,LC08_L1TP_035033_20211203_20211209_02_T1,35,33,2021-12-03,0.87
7,target,LC80340382021170LGN00,LC08_L1TP_034038_20210619_20210629_02_T1,34,38,2021-06-19,0.0
7,reference,LC80340382021090LGN00,LC08_L1TP_034038_20210331_20210409_02_T1,34,38,2021-03-31,0.17
8,target,LC80290342021087LGN00,LC08_L1TP_029034_20210328_20210402_02_T1,29,34,2021-03-28,0.0
8,reference,LC80290342021167LGN00,LC08_L1TP_029034_20210616_20210622_02_T1,29,34,2021-06-16,0.06
9,target,LC80300312021270LGN00,LC08_L1TP_030031_20210927_20211001_02_T1,30,31,2021-09-27,0.0
9,reference,LC80300312021350LGN00,LC08_L1TP_030031_20211216_20211223_02_T1,30,31,2021-12-16,0.08
10,target,LC80320302021268LGN00,LC08_L1TP_032030_20210925_20211001_02_T1,32,30,2021-09-25,0.1
10,reference,LC80320302021252LGN00,LC08_L1TP_032030_20210909_20210916_02_T1,32,30,2021-09-09,0.62
11,target,LC80200372021088LGN00,LC08_L1TP_020037_20210329_20210409_02_T1,20,37,2021-03-29,0.02
11,reference,LC80200372021168LGN00,LC08_L1TP_020037_20210617_20210628_02_T1,20,37,2021-06-17,0.5
12,target,LC80330292022246LGN00,LC08_L1TP_033029_20220903_20220914_02_T1,33,29,2022-09-03,0.0
12,reference,LC80330292022262LGN00,LC08_L1TP_033029_20220919_20220928_02_T1,33,29,2022-09-19,0.0
13,target,LC80290282022154LGN00,LC08_L1TP_029028_20220603_20220610_02_T1,29,28,2022-06-03,0.0
13,reference,LC80290282022170LGN00,LC08_L1TP_029028_20220619_20220630_02_T1,29,28,2022-06-19,0.07
14,target,LC80330382022358LGN00,LC08_L1TP_033038_20221224_20230103_02_T1,33,38,2022-12-24,0.52
14,reference,LC80330382022342LGN00,LC08_L1TP_033038_20221208_20221213_02_T1,33,38,2022-12-08,0.59
15,target,LC80260382021066LGN00,LC08_L1TP_026038_20210307_20210317_02_T1,26,38,2021-03-07,0.02
15,reference,LC80260382021082LGN00,LC08_L1TP_026038_20210323_20210402_02_T1,26,38,2021-03-23,0.02
16,target,LC80410292021267LGN00,LC08_L1TP_041029_20210924_20210930_02_T1,41,29,2021-09-24,0.02
16,reference,LC80410292021251LGN00,LC08_L1TP_041029_20210908_20210916_02_T1,41,29,2021-09-08,0.44
17,target,LC80390312021173LGN00,LC08_L1TP_039031_20210622_20210630_02_T1,39,31,2021-06-22,0.41
17,reference,LC80390312021157LGN00,LC08_L1TP_039031_20210606_20210615_02_T1,39,31,2021-06-06,0.86
18,target,LC80280402022163LGN00,LC08_L1TP_028040_20220612_20220617_02_T1,28,40,2022-06-12,0.0
18,reference,LC80280402022083LGN00,LC08_L1TP_028040_20220324_20220330_02_T1,28,40,2022-03-24,0.05
19,target,LC80440312021272LGN00,LC08_L1TP_044031_20210929_20211013_02_T1,44,31,2021-09-29,0.13
19,reference,LC80440312021336LGN00,LC08_L1TP_044031_20211202_20211209_02_T1,44,31,2021-12-02,0.21
20,target,LC80240372021356LGN00,LC08_L1TP_024037_20211222_20211230_02_T1,24,37,2021-12-22,0.01
20,reference,LC80240372022071LGN00,LC08_L1TP_024037_20220312_20220321_02_T1,24,37,2022-03-12,1.49
21,target,LC80360372021264LGN00,LC08_L1TP_036037_20210921_20210930_02_T1,36,37,2021-09-21,0.0
21,reference,LC80360372021248LGN00,LC08_L1TP_036037_20210905_20210915_02_T1,36,37,2021-09-05,0.68
22,target,LC80240272022263LGN00,LC08_L1TP_024027_20220920_20220928_02_T1,24,27,2022-09-20,0.0
22,reference,LC80240272022247LGN00,LC08_L1TP_024027_20220904_20220914_02_T1,24,27,2022-09-04,1.8
23,target,LC80330342022070LGN00,LC08_L1TP_033034_20220311_20220321_02_T1,33,34,2022-03-11,0.79
23,reference,LC80330342021355LGN00,LC08_L1TP_033034_20211221_20211229_02_T1,33,34,2021-12-21,1.35
